id,car_id,descricao
245,61,Travaselétricas
246,61,Rodasdeliga
247,61,Bancosdecouro
248,62,Pilotoautomático
249,62,Paineldigital
250,62,Arcondicionado
251,62,Vidroselétricos
252,63,Sensorcrepuscular
253,63,Paineldigital
254,63,Tetopanorâmico
255,63,Vidroselétricos
256,64,4X4
257,64,Câmeradeestacionamento
258,64,Paineldigital
259,64,Controledetração
260,65,Rodasdeliga
261,65,Bancosdecouro
262,65,FreiosABS
263,65,Travaselétricas
264,66,FreiosABS
265,66,Pilotoautomático
266,66,Controledeestabilidade
267,66,Vidroselétricos
268,67,Sensordeestacionamento
269,67,Arcondicionado
270,67,Centralmultimídia
271,67,Travaselétricas
272,68,Rodasdeliga
273,68,Controledetração
274,68,FreiosABS
275,68,Sensordeestacionamento
276,69,Paineldigital
277,69,Centralmultimídia
278,69,Vidroselétricos
279,69,Arcondicionado
280,70,Tetopanorâmico
281,70,Controledetração
282,70,Sensorcrepuscular
283,70,4X4
284,71,Arcondicionado
285,71,Travaselétricas
286,71,Rodasdeliga
287,71,Bancosdecouro
288,72,Pilotoautomático
289,72,Paineldigital
290,72,Arcondicionado
291,72,Vidroselétricos
292,73,Sensorcrepuscular
293,73,Paineldigital
294,73,Tetopanorâmico
295,73,Vidroselétricos
296,74,4X4
297,74,Câmeradeestacionamento
298,74,Paineldigital
299,74,Controledetração
300,75,Rodasdeliga
301,75,Bancosdecouro
302,75,FreiosABS
303,75,Travaselétricas
304,76,FreiosABS
305,76,Pilotoautomático
306,76,Controledeestabilidade
307,76,Vidroselétricos
308,77,Sensordeestacionamento
309,77,Arcondicionado
310,77,Centralmultimídia
311,77,Travaselétricas
312,78,Rodasdeliga
313,78,Controledetração
314,78,FreiosABS
315,78,Sensordeestacionamento
316,79,Paineldigital
317,79,Centralmultimídia
318,79,Vidroselétricos
319,79,Arcondicionado
320,80,Tetopanorâmico
321,80,Controledetração
322,80,Sensorcrepuscular
323,80,4X4
324,81,Arcondicionado
325,81,Travaselétricas
326,81,Rodasdeliga
327,81,Bancosdecouro
328,82,Pilotoautomático
329,82,Paineldigital
330,82,Arcondicionado
331,82,Vidroselétricos
332,83,Sensorcrepuscular
333,83,Paineldigital
334,83,Tetopanorâmico
335,83,Vidroselétricos
336,84,4X4
337,84,Câmeradeestacionamento
338,84,Paineldigital
339,84,Controledetração
340,85,Rodasdeliga
341,85,Bancosdecouro
342,85,FreiosABS
343,85,Travaselétricas
344,86,FreiosABS
345,86,Pilotoautomático
346,86,Controledeestabilidade
347,86,Vidroselétricos
348,87,Sensordeestacionamento
349,87,Arcondicionado
350,87,Centralmultimídia
351,87,Travaselétricas
352,88,Rodasdeliga
353,88,Controledetração
354,88,FreiosABS
355,88,Sensordeestacionamento
356,89,Paineldigital
357,89,Centralmultimídia
358,89,Vidroselétricos
359,89,Arcondicionado
360,90,Tetopanorâmico
361,90,Controledetração
362,90,Sensorcrepuscular
363,90,4X4
364,91,Arcondicionado
365,91,Travaselétricas
366,91,Rodasdeliga
367,91,Bancosdecouro
368,92,Pilotoautomático
369,92,Paineldigital
370,92,Arcondicionado
371,92,Vidroselétricos
372,93,Sensorcrepuscular
373,93,Paineldigital
374,93,Tetopanorâmico
375,93,Vidroselétricos
376,94,4X4
377,94,Câmeradeestacionamento
378,94,Paineldigital
379,94,Controledetração
380,95,Rodasdeliga
381,95,Bancosdecouro
382,95,FreiosABS
383,95,Travaselétricas
384,96,FreiosABS
385,96,Pilotoautomático
386,96,Controledeestabilidade
387,96,Vidroselétricos
388,97,Sensordeestacionamento
389,97,Arcondicionado
390,97,Centralmultimídia
391,97,Travaselétricas
392,98,Rodasdeliga
393,98,Controledetração
394,98,FreiosABS
395,98,Sensordeestacionamento
396,99,Paineldigital
397,99,Centralmultimídia
398,99,Vidroselétricos
399,99,Arcondicionado
400,100,Tetopanorâmico
401,100,Controledetração
402,100,Sensorcrepuscular
403,100,4X4
404,101,Arcondicionado
405,101,Travaselétricas
406,101,Rodasdeliga
407,101,Bancosdecouro
408,102,Pilotoautomático
409,102,Paineldigital
410,102,Arcondicionado
411,102,Vidroselétricos
412,103,Sensorcrepuscular
413,103,Paineldigital
414,103,Tetopanorâmico
415,103,Vidroselétricos
416,104,4X4
417,104,Câmeradeestacionamento
418,104,Paineldigital
419,104,Controledetração
420,105,Rodasdeliga
421,105,Bancosdecouro
422,105,FreiosABS
423,105,Travaselétricas
424,106,FreiosABS
425,106,Pilotoautomático
426,106,Controledeestabilidade
427,106,Vidroselétricos
428,107,Sensordeestacionamento
429,107,Arcondicionado
430,107,Centralmultimídia
431,107,Travaselétricas
432,108,Rodasdeliga
433,108,Controledetração
434,108,FreiosABS
435,108,Sensordeestacionamento
436,109,Paineldigital
437,109,Centralmultimídia
438,109,Vidroselétricos
439,109,Arcondicionado
440,110,Tetopanorâmico
441,110,Controledetração
442,110,Sensorcrepuscular
443,110,4X4
444,111,Arcondicionado
445,111,Travaselétricas
446,111,Rodasdeliga
447,111,Bancosdecouro
448,112,Pilotoautomático
449,112,Paineldigital
450,112,Arcondicionado
451,112,Vidroselétricos
452,113,Sensorcrepuscular
453,113,Paineldigital
454,113,Tetopanorâmico
455,113,Vidroselétricos
456,114,4X4
457,114,Câmeradeestacionamento
458,114,Paineldigital
459,114,Controledetração
460,115,Rodasdeliga
461,115,Bancosdecouro
462,115,FreiosABS
463,115,Travaselétricas
464,116,FreiosABS
465,116,Pilotoautomático
466,116,Controledeestabilidade
467,116,Vidroselétricos
468,117,Sensordeestacionamento
469,117,Arcondicionado
470,117,Centralmultimídia
471,117,Travaselétricas
472,118,Rodasdeliga
473,118,Controledetração
474,118,FreiosABS
475,118,Sensordeestacionamento
476,119,Paineldigital
477,119,Centralmultimídia
478,119,Vidroselétricos
479,119,Arcondicionado
480,120,Tetopanorâmico
481,120,Controledetração
482,120,Sensorcrepuscular
483,120,4X4
484,121,Arcondicionado
485,121,Travaselétricas
486,121,Rodasdeliga
487,121,Bancosdecouro
488,122,Pilotoautomático
489,122,Paineldigital
490,122,Arcondicionado
491,122,Vidroselétricos
492,123,Sensorcrepuscular
493,123,Paineldigital
494,123,Tetopanorâmico
495,123,Vidroselétricos
496,124,4X4
497,124,Câmeradeestacionamento
498,124,Paineldigital
499,124,Controledetração
500,125,Rodasdeliga
501,125,Bancosdecouro
502,125,FreiosABS
503,125,Travaselétricas
504,126,FreiosABS
505,126,Pilotoautomático
506,126,Controledeestabilidade
507,126,Vidroselétricos
508,127,Sensordeestacionamento
509,127,Arcondicionado
510,127,Centralmultimídia
511,127,Travaselétricas
512,128,Rodasdeliga
513,128,Controledetração
514,128,FreiosABS
515,128,Sensordeestacionamento
516,129,Paineldigital
517,129,Centralmultimídia
518,129,Vidroselétricos
519,129,Arcondicionado
520,130,Tetopanorâmico
521,130,Controledetração
522,130,Sensorcrepuscular
523,130,4X4
524,131,Arcondicionado
525,131,Travaselétricas
526,131,Rodasdeliga
527,131,Bancosdecouro
528,132,Pilotoautomático
529,132,Paineldigital
530,132,Arcondicionado
531,132,Vidroselétricos
532,133,Sensorcrepuscular
533,133,Paineldigital
534,133,Tetopanorâmico
535,133,Vidroselétricos
536,134,4X4
537,134,Câmeradeestacionamento
538,134,Paineldigital
539,134,Controledetração
540,135,Rodasdeliga
541,135,Bancosdecouro
542,135,FreiosABS
543,135,Travaselétricas
544,136,FreiosABS
545,136,Pilotoautomático
546,136,Controledeestabilidade
547,136,Vidroselétricos
548,137,Sensordeestacionamento
549,137,Arcondicionado
550,137,Centralmultimídia
551,137,Travaselétricas
552,138,Rodasdeliga
553,138,Controledetração
554,138,FreiosABS
555,138,Sensordeestacionamento
556,139,Paineldigital
557,139,Centralmultimídia
558,139,Vidroselétricos
559,139,Arcondicionado
560,140,Tetopanorâmico
561,140,Controledetração
562,140,Sensorcrepuscular
563,140,4X4
564,141,Arcondicionado
565,141,Travaselétricas
566,141,Rodasdeliga
567,141,Bancosdecouro
568,142,Pilotoautomático
569,142,Paineldigital
570,142,Arcondicionado
571,142,Vidroselétricos
572,143,Sensorcrepuscular
573,143,Paineldigital
574,143,Tetopanorâmico
575,143,Vidroselétricos
576,144,4X4
577,144,Câmeradeestacionamento
578,144,Paineldigital
579,144,Controledetração
580,145,Rodasdeliga
581,145,Bancosdecouro
582,145,FreiosABS
583,145,Travaselétricas
584,146,FreiosABS
585,146,Pilotoautomático
586,146,Controledeestabilidade
587,146,Vidroselétricos
588,147,Sensordeestacionamento
589,147,Arcondicionado
590,147,Centralmultimídia
591,147,Travaselétricas
592,148,Rodasdeliga
593,148,Controledetração
594,148,FreiosABS
595,148,Sensordeestacionamento
596,149,Paineldigital
597,149,Centralmultimídia
598,149,Vidroselétricos
599,149,Arcondicionado
600,150,Tetopanorâmico
601,150,Controledetração
602,150,Sensorcrepuscular
603,150,4X4
604,151,Arcondicionado
605,151,Travaselétricas
606,151,Rodasdeliga
607,151,Bancosdecouro
608,152,Pilotoautomático
609,152,Paineldigital
610,152,Arcondicionado
611,152,Vidroselétricos
612,153,Sensorcrepuscular
613,153,Paineldigital
614,153,Tetopanorâmico
615,153,Vidroselétricos
616,154,4X4
617,154,Câmeradeestacionamento
618,154,Paineldigital
619,154,Controledetração
620,155,Rodasdeliga
621,155,Bancosdecouro
622,155,FreiosABS
623,155,Travaselétricas
624,156,FreiosABS
625,156,Pilotoautomático
626,156,Controledeestabilidade
627,156,Vidroselétricos
628,157,Sensordeestacionamento
629,157,Arcondicionado
630,157,Centralmultimídia
631,157,Travaselétricas
632,158,Rodasdeliga
633,158,Controledetração
634,158,FreiosABS
635,158,Sensordeestacionamento
636,159,Paineldigital
637,159,Centralmultimídia
638,159,Vidroselétricos
639,159,Arcondicionado
640,160,Tetopanorâmico
641,160,Controledetração
642,160,Sensorcrepuscular
643,160,4X4
644,161,Arcondicionado
645,161,Travaselétricas
646,161,Rodasdeliga
647,161,Bancosdecouro
648,162,Pilotoautomático
649,162,Paineldigital
650,162,Arcondicionado
651,162,Vidroselétricos
652,163,Sensorcrepuscular
653,163,Paineldigital
654,163,Tetopanorâmico
655,163,Vidroselétricos
656,164,4X4
657,164,Câmeradeestacionamento
658,164,Paineldigital
659,164,Controledetração
660,165,Rodasdeliga
661,165,Bancosdecouro
662,165,FreiosABS
663,165,Travaselétricas
664,166,FreiosABS
665,166,Pilotoautomático
666,166,Controledeestabilidade
667,166,Vidroselétricos
668,167,Sensordeestacionamento
669,167,Arcondicionado
670,167,Centralmultimídia
671,167,Travaselétricas
672,168,Rodasdeliga
673,168,Controledetração
674,168,FreiosABS
675,168,Sensordeestacionamento
676,169,Paineldigital
677,169,Centralmultimídia
678,169,Vidroselétricos
679,169,Arcondicionado
680,170,Tetopanorâmico
681,170,Controledetração
682,170,Sensorcrepuscular
683,170,4X4
684,171,Arcondicionado
685,171,Travaselétricas
686,171,Rodasdeliga
687,171,Bancosdecouro
688,172,Pilotoautomático
689,172,Paineldigital
690,172,Arcondicionado
691,172,Vidroselétricos
692,173,Sensorcrepuscular
693,173,Paineldigital
694,173,Tetopanorâmico
695,173,Vidroselétricos
696,174,4X4
697,174,Câmeradeestacionamento
698,174,Paineldigital
699,174,Controledetração
700,175,Rodasdeliga
701,175,Bancosdecouro
702,175,FreiosABS
703,175,Travaselétricas
704,176,FreiosABS
705,176,Pilotoautomático
706,176,Controledeestabilidade
707,176,Vidroselétricos
708,177,Sensordeestacionamento
709,177,Arcondicionado
710,177,Centralmultimídia
711,177,Travaselétricas
712,178,Rodasdeliga
713,178,Controledetração
714,178,FreiosABS
715,178,Sensordeestacionamento
716,179,Paineldigital
717,179,Centralmultimídia
718,179,Vidroselétricos
719,179,Arcondicionado
720,180,Tetopanorâmico
721,180,Controledetração
722,180,Sensorcrepuscular
723,180,4X4
724,181,Arcondicionado
725,181,Travaselétricas
726,181,Rodasdeliga
727,181,Bancosdecouro
728,182,Pilotoautomático
729,182,Paineldigital
730,182,Arcondicionado
731,182,Vidroselétricos
732,183,Sensorcrepuscular
733,183,Paineldigital
734,183,Tetopanorâmico
735,183,Vidroselétricos
736,184,4X4
737,184,Câmeradeestacionamento
738,184,Paineldigital
739,184,Controledetração
740,185,Rodasdeliga
741,185,Bancosdecouro
742,185,FreiosABS
743,185,Travaselétricas
744,186,FreiosABS
745,186,Pilotoautomático
746,186,Controledeestabilidade
747,186,Vidroselétricos
748,187,Sensordeestacionamento
749,187,Arcondicionado
750,187,Centralmultimídia
751,187,Travaselétricas
752,188,Rodasdeliga
753,188,Controledetração
754,188,FreiosABS
755,188,Sensordeestacionamento
756,189,Paineldigital
757,189,Centralmultimídia
758,189,Vidroselétricos
759,189,Arcondicionado
760,190,Tetopanorâmico
761,190,Controledetração
762,190,Sensorcrepuscular
763,190,4X4
764,191,Arcondicionado
765,191,Travaselétricas
766,191,Rodasdeliga
767,191,Bancosdecouro
768,192,Pilotoautomático
769,192,Paineldigital
770,192,Arcondicionado
771,192,Vidroselétricos
772,193,Sensorcrepuscular
773,193,Paineldigital
774,193,Tetopanorâmico
775,193,Vidroselétricos
776,194,4X4
777,194,Câmeradeestacionamento
778,194,Paineldigital
779,194,Controledetração
780,195,Rodasdeliga
781,195,Bancosdecouro
782,195,FreiosABS
783,195,Travaselétricas
784,196,FreiosABS
785,196,Pilotoautomático
786,196,Controledeestabilidade
787,196,Vidroselétricos
788,197,Sensordeestacionamento
789,197,Arcondicionado
790,197,Centralmultimídia
791,197,Travaselétricas
792,198,Rodasdeliga
793,198,Controledetração
794,198,FreiosABS
795,198,Sensordeestacionamento
796,199,Paineldigital
797,199,Centralmultimídia
798,199,Vidroselétricos
799,199,Arcondicionado
800,200,Tetopanorâmico
801,200,Controledetração
802,200,Sensorcrepuscular
803,200,4X4
804,201,Arcondicionado
805,201,Travaselétricas
806,201,Rodasdeliga
807,201,Bancosdecouro
808,202,Pilotoautomático
809,202,Paineldigital
810,202,Arcondicionado
811,202,Vidroselétricos
812,203,Sensorcrepuscular
813,203,Paineldigital
814,203,Tetopanorâmico
815,203,Vidroselétricos
816,204,4X4
817,204,Câmeradeestacionamento
818,204,Paineldigital
819,204,Controledetração
820,205,Rodasdeliga
821,205,Bancosdecouro
822,205,FreiosABS
823,205,Travaselétricas
824,206,FreiosABS
825,206,Pilotoautomático
826,206,Controledeestabilidade
827,206,Vidroselétricos
828,207,Sensordeestacionamento
829,207,Arcondicionado
830,207,Centralmultimídia
831,207,Travaselétricas
832,208,Rodasdeliga
833,208,Controledetração
834,208,FreiosABS
835,208,Sensordeestacionamento
836,209,Paineldigital
837,209,Centralmultimídia
838,209,Vidroselétricos
839,209,Arcondicionado
840,210,Tetopanorâmico
841,210,Controledetração
842,210,Sensorcrepuscular
843,210,4X4
844,211,Arcondicionado
845,211,Travaselétricas
846,211,Rodasdeliga
847,211,Bancosdecouro
848,212,Pilotoautomático
849,212,Paineldigital
850,212,Arcondicionado
851,212,Vidroselétricos
852,213,Sensorcrepuscular
853,213,Paineldigital
854,213,Tetopanorâmico
855,213,Vidroselétricos
856,214,4X4
857,214,Câmeradeestacionamento
858,214,Paineldigital
859,214,Controledetração
860,215,Rodasdeliga
861,215,Bancosdecouro
862,215,FreiosABS
863,215,Travaselétricas
864,216,FreiosABS
865,216,Pilotoautomático
866,216,Controledeestabilidade
867,216,Vidroselétricos
868,217,Sensordeestacionamento
869,217,Arcondicionado
870,217,Centralmultimídia
871,217,Travaselétricas
872,218,Rodasdeliga
873,218,Controledetração
874,218,FreiosABS
875,218,Sensordeestacionamento
876,219,Paineldigital
877,219,Centralmultimídia
878,219,Vidroselétricos
879,219,Arcondicionado
880,220,Tetopanorâmico
881,220,Controledetração
882,220,Sensorcrepuscular
883,220,4X4
884,221,Arcondicionado
885,221,Travaselétricas
886,221,Rodasdeliga
887,221,Bancosdecouro
888,222,Pilotoautomático
889,222,Paineldigital
890,222,Arcondicionado
891,222,Vidroselétricos
892,223,Sensorcrepuscular
893,223,Paineldigital
894,223,Tetopanorâmico
895,223,Vidroselétricos
896,224,4X4
897,224,Câmeradeestacionamento
898,224,Paineldigital
899,224,Controledetração
900,225,Rodasdeliga
901,225,Bancosdecouro
902,225,FreiosABS
903,225,Travaselétricas
904,226,FreiosABS
905,226,Pilotoautomático
906,226,Controledeestabilidade
907,226,Vidroselétricos
908,227,Sensordeestacionamento
909,227,Arcondicionado
910,227,Centralmultimídia
911,227,Travaselétricas
912,228,Rodasdeliga
913,228,Controledetração
914,228,FreiosABS
915,228,Sensordeestacionamento
916,229,Paineldigital
917,229,Centralmultimídia
918,229,Vidroselétricos
919,229,Arcondicionado
920,230,Tetopanorâmico
921,230,Controledetração
922,230,Sensorcrepuscular
923,230,4X4
924,231,Arcondicionado
925,231,Travaselétricas
926,231,Rodasdeliga
927,231,Bancosdecouro
928,232,Pilotoautomático
929,232,Paineldigital
930,232,Arcondicionado
931,232,Vidroselétricos
932,233,Sensorcrepuscular
933,233,Paineldigital
934,233,Tetopanorâmico
935,233,Vidroselétricos
936,234,4X4
937,234,Câmeradeestacionamento
938,234,Paineldigital
939,234,Controledetração
940,235,Rodasdeliga
941,235,Bancosdecouro
942,235,FreiosABS
943,235,Travaselétricas
944,236,FreiosABS
945,236,Pilotoautomático
946,236,Controledeestabilidade
947,236,Vidroselétricos
948,237,Sensordeestacionamento
949,237,Arcondicionado
950,237,Centralmultimídia
951,237,Travaselétricas
952,238,Rodasdeliga
953,238,Controledetração
954,238,FreiosABS
955,238,Sensordeestacionamento
956,239,Paineldigital
957,239,Centralmultimídia
958,239,Vidroselétricos
959,239,Arcondicionado
960,240,Tetopanorâmico
961,240,Controledetração
962,240,Sensorcrepuscular
963,240,4X4
964,241,Arcondicionado
965,241,Travaselétricas
966,241,Rodasdeliga
967,241,Bancosdecouro
968,242,Pilotoautomático
969,242,Paineldigital
970,242,Arcondicionado
971,242,Vidroselétricos
972,243,Sensorcrepuscular
973,243,Paineldigital
974,243,Tetopanorâmico
975,243,Vidroselétricos
976,244,4X4
977,244,Câmeradeestacionamento
978,244,Paineldigital
979,244,Controledetração
980,245,Rodasdeliga
981,245,Bancosdecouro
982,245,FreiosABS
983,245,Travaselétricas
984,246,FreiosABS
985,246,Pilotoautomático
986,246,Controledeestabilidade
987,246,Vidroselétricos
988,247,Sensordeestacionamento
989,247,Arcondicionado
990,247,Centralmultimídia
991,247,Travaselétricas
992,248,Rodasdeliga
993,248,Controledetração
994,248,FreiosABS
995,248,Sensordeestacionamento
996,249,Paineldigital
997,249,Centralmultimídia
998,249,Vidroselétricos
999,249,Arcondicionado
